3,1,184.25,93.26,79.53,227.24,1,-1,-1,-1
3,2,84.80,101.12,65.99,219.69,1,-1,-1,-1
3,3,575.84,84.39,62.05,199.09,1,-1,-1,-1
3,4,354.77,80.53,92.52,249.69,1,-1,-1,-1
3,5,439.98,90.18,91.84,241.11,1,-1,-1,-1
3,6,515.32,113.39,44.89,122.11,1,-1,-1,-1
4,1,191.08,91.68,79.56,227.97,1,-1,-1,-1
4,2,75.73,103.38,66.09,217.57,1,-1,-1,-1
4,3,575.15,85.28,61.88,197.85,1,-1,-1,-1
4,4,358.73,81.88,91.82,247.12,1,-1,-1,-1
4,5,443.54,89.71,91.21,240.38,1,-1,-1,-1
4,6,516.07,113.93,44.55,121.34,1,-1,-1,-1
5,1,198.81,90.81,79.95,229.00,1,-1,-1,-1
5,2,69.77,105.10,67.08,217.41,1,-1,-1,-1
5,3,574.44,86.17,61.92,196.93,1,-1,-1,-1
5,4,361.13,84.16,91.24,244.99,1,-1,-1,-1
5,5,447.03,89.29,89.61,236.98,1,-1,-1,-1
5,6,515.49,114.16,45.00,122.89,1,-1,-1,-1
5,8,180.41,95.45,37.49,156.46,1,-1,-1,-1
6,1,204.44,91.19,79.84,228.43,1,-1,-1,-1
6,2,65.05,105.84,68.23,217.14,1,-1,-1,-1
6,3,572.92,86.82,62.22,196.20,1,-1,-1,-1
6,4,363.74,84.97,91.31,244.63,1,-1,-1,-1
6,5,449.72,88.46,88.75,235.96,1,-1,-1,-1
6,6,514.65,114.11,44.54,121.73,1,-1,-1,-1
6,8,180.80,95.42,37.97,158.10,1,-1,-1,-1
7,1,211.78,92.30,79.72,227.25,1,-1,-1,-1
7,2,60.95,105.34,69.53,217.82,1,-1,-1,-1
7,3,571.56,87.76,62.52,195.24,1,-1,-1,-1
7,4,365.95,85.96,91.79,245.33,1,-1,-1,-1
7,5,453.41,87.17,88.34,236.04,1,-1,-1,-1
7,6,514.59,114.06,43.83,120.20,1,-1,-1,-1
7,8,181.67,95.75,38.12,157.61,1,-1,-1,-1
8,1,216.75,93.84,79.67,225.72,1,-1,-1,-1
8,2,56.01,104.08,70.66,219.51,1,-1,-1,-1
8,3,567.68,88.64,62.90,194.29,1,-1,-1,-1
8,4,367.85,86.43,91.34,243.84,1,-1,-1,-1
8,5,455.88,86.60,87.75,235.85,1,-1,-1,-1
8,6,514.47,114.25,43.65,119.72,1,-1,-1,-1
8,8,182.37,95.62,38.51,157.95,1,-1,-1,-1
9,1,222.82,95.71,79.59,223.71,1,-1,-1,-1
9,2,51.58,102.42,71.31,221.71,1,-1,-1,-1
9,3,565.69,88.99,63.30,194.04,1,-1,-1,-1
9,4,370.10,85.81,91.45,243.92,1,-1,-1,-1
9,5,458.94,86.88,86.88,235.40,1,-1,-1,-1
9,8,182.44,95.76,38.75,157.58,1,-1,-1,-1
10,1,227.76,97.09,79.89,222.31,1,-1,-1,-1
10,2,44.99,101.77,71.04,222.92,1,-1,-1,-1
10,3,564.79,88.69,63.80,194.24,1,-1,-1,-1
10,4,371.70,84.64,91.61,244.29,1,-1,-1,-1
10,5,462.85,86.98,86.16,235.28,1,-1,-1,-1
10,8,182.08,96.02,39.04,157.36,1,-1,-1,-1
11,1,230.69,98.13,80.32,221.25,1,-1,-1,-1
11,2,38.19,100.42,70.33,223.45,1,-1,-1,-1
11,3,560.45,87.69,63.57,194.37,1,-1,-1,-1
11,4,373.45,83.26,91.53,244.46,1,-1,-1,-1
11,5,468.63,87.38,85.86,234.94,1,-1,-1,-1
11,8,181.62,96.24,39.36,157.21,1,-1,-1,-1
12,1,234.07,98.73,80.66,220.19,1,-1,-1,-1
12,2,31.84,99.88,69.60,224.12,1,-1,-1,-1
12,3,556.90,87.29,63.18,194.15,1,-1,-1,-1
12,4,375.73,82.11,90.29,241.30,1,-1,-1,-1
12,5,472.46,88.61,86.13,234.78,1,-1,-1,-1
12,8,181.26,96.32,39.68,157.29,1,-1,-1,-1
13,1,238.29,97.99,80.85,219.72,1,-1,-1,-1
13,2,26.18,98.90,69.04,224.79,1,-1,-1,-1
13,3,554.79,86.96,62.93,194.14,1,-1,-1,-1
13,4,378.17,81.26,89.93,240.55,1,-1,-1,-1
13,5,476.46,89.43,86.41,234.26,1,-1,-1,-1
13,8,180.89,96.18,40.02,157.34,1,-1,-1,-1
13,9,605.60,104.79,33.43,134.35,1,-1,-1,-1
14,1,242.02,96.05,80.42,218.82,1,-1,-1,-1
14,2,16.85,98.62,69.59,225.75,1,-1,-1,-1
14,3,552.85,87.14,62.35,192.91,1,-1,-1,-1
14,4,381.34,80.78,89.77,240.14,1,-1,-1,-1
14,5,480.12,90.13,86.20,232.89,1,-1,-1,-1
14,8,180.58,95.67,40.45,157.85,1,-1,-1,-1
14,9,604.13,106.87,33.15,132.25,1,-1,-1,-1
15,1,244.90,93.63,80.24,218.98,1,-1,-1,-1
15,2,7.82,97.68,71.26,227.35,1,-1,-1,-1
15,3,551.11,87.19,62.06,192.39,1,-1,-1,-1
15,4,383.66,80.50,89.72,240.00,1,-1,-1,-1
15,5,482.91,90.46,86.62,232.41,1,-1,-1,-1
15,8,180.23,95.13,40.90,158.56,1,-1,-1,-1
15,9,603.36,107.91,33.30,131.63,1,-1,-1,-1
16,1,247.45,91.85,80.25,220.01,1,-1,-1,-1
